"datum","vhodi","izhodi"
"2024-03-01","0","0"
"2024-03-02","1","2"
"2024-03-03","46","68"
"2024-03-04","3","0"
"2024-03-05","0","0"
"2024-03-06","1","1"
"2024-03-07","0","0"
"2024-03-08","0","0"
"2024-03-09","894","880"
"2024-03-10","28","21"
"2024-03-11","2","4"
"2024-03-12","7","4"
"2024-03-13","0","0"
"2024-03-14","0","0"
"2024-03-15","0","0"
"2024-03-16","0","0"
"2024-03-17","2","2"
"2024-03-18","0","0"
"2024-03-19","0","0"
"2024-03-20","2","0"
"2024-03-21","0","0"
"2024-03-22","0","0"
"2024-03-23","18","12"
"2024-03-24","3","3"
"2024-03-25","0","0"
"2024-03-26","5","4"
"2024-03-27","18","25"
"2024-03-28","400","464"
"2024-03-29","484","481"
"2024-03-30","15","15"
